Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
CN amplification (CN >= 0.6);KRAS;TCGA-ZF-AA54;-1,578984e-06;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-ZF-A9RE;-6,77051e-13;0
CN amplification (CN >= 0.6);ERBB3;TCGA-XF-AAMX;-0,03119301;0
CN amplification (CN >= 0.6);ASXL2;TCGA-XF-AAMX;-0,000254107;0
CN amplification (CN >= 0.6);KDM6A;TCGA-XF-AAMX;-8,704942e-13;0
CN amplification (CN >= 0.6);RBM10;TCGA-XF-A9SZ;-0,001178105;0
CN amplification (CN >= 0.6);ERBB2;TCGA-GV-A3QH;-0,01710818;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-GU-AATQ;-6,77051e-13;0
CN amplification (CN >= 0.6);BCL2L1;TCGA-GC-A3I6;-0,02132329;0
CN amplification (CN >= 0.6);RPTN;TCGA-G2-A3IE;-0,05804315;0
CN amplification (CN >= 0.6);KRAS;TCGA-FD-A5BX;-1,578984e-06;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-E9-A226;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-DK-AA6Q;-6,77051e-13;0
CN amplification (CN >= 0.6);UNC93B1;TCGA-BT-A3PH;-0,02132329;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-BH-A203;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-B6-A0RH;-4,567e-13;0
CN amplification (CN >= 0.6);NBPF9;TCGA-A8-A08T;-0,01651513;0
CN amplification (CN >= 0.6);GATA3;TCGA-A8-A06X;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A06U;-4,567e-13;0
CN amplification (CN >= 0.6);ACTL6B;TCGA-A2-A0T2;-0,05311451;0
CN amplification (CN >= 0.6);PIK3CA;TCGA-A2-A04P;-4,567e-13;0
CN amplification (CN >= 0.6);KRAS;TCGA-4Z-AA81;-1,578984e-06;0
CN amplification (CN >= 0.6);ERBB2;TCGA-4Z-AA7S;-0,01710818;0
CN amplification (CN >= 0.6);ERBB2;TCGA-2F-A9KP;-0,01710818;0
CN amplification (CN >= 0.6);ARID1A;TCGA-2F-A9KP;-3,836622e-12;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7253;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7220;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-7111;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6204;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-6007;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5601;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5543;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5534;-4,567e-13;0
CN amplification (CN >= 0.6);CBFB;BRCA-METABRIC-S1-MB-5491;-2,028155e-12;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5259;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5200;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-5179;-4,567e-13;0
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-5078;-0,002898264;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-4982;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-4904;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-4878;-4,567e-13;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-4733;-4,567e-13;0
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-4360;-0,002898264;0
CN amplification (CN >= 0.6);RB1;BRCA-METABRIC-S1-MB-4348;-2,039145e-06;0
CN amplification (CN >= 0.6);PTEN;BRCA-METABRIC-S1-MB-4250;-2,433787e-11;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-3453;-4,567e-13;0
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-3435;-0,002898264;0
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-3028;-0,002898264;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-2846;-4,567e-13;0
CN amplification (CN >= 0.6);ERBB2;BRCA-METABRIC-S1-MB-0643;-0,002898264;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0398;-4,567e-13;0
CN amplification (CN >= 0.6);PTEN;BRCA-METABRIC-S1-MB-0167;-2,433787e-11;0
CN amplification (CN >= 0.6);PIK3CA;BRCA-METABRIC-S1-MB-0046;-4,567e-13;0
CN amplification (CN >= 0.6);FAT1;TCGA-YF-AA3L;-0,000116499;1679616
CN amplification (CN >= 0.6);TXNIP;TCGA-XF-AAMG;-0,03475802;1679616
CN amplification (CN >= 0.6);RB1;TCGA-XF-A9T6;-5,077883e-13;1679616
CN amplification (CN >= 0.6);PARD3;TCGA-UY-A8OB;-0,09809461;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-OL-A5RW;-0,000298002;1679616
CN amplification (CN >= 0.6);THRAP3;TCGA-MV-A51V;-0,04514966;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-MV-A51V;-0,01710818;1679616
CN amplification (CN >= 0.6);RPTN;TCGA-K4-A5RH;-0,05804315;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-HQ-A2OF;-0,01710818;1679616
CN amplification (CN >= 0.6);ERBB3;TCGA-HQ-A2OE;-0,03119301;1679616
CN amplification (CN >= 0.6);ERCC2;TCGA-H4-A2HO;-1,092379e-09;1679616
CN amplification (CN >= 0.6);TXNIP;TCGA-GV-A40G;-0,03475802;1679616
CN amplification (CN >= 0.6);TP53;TCGA-GV-A3JZ;-5,077883e-13;1679616
CN amplification (CN >= 0.6);CNOT1;TCGA-G2-A3VY;-0,08089476;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-G2-A3VY;-6,77051e-13;1679616
CN amplification (CN >= 0.6);TXNIP;TCGA-FD-A43P;-0,03475802;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-EW-A1PC;-4,567e-13;1679616
CN amplification (CN >= 0.6);TPP2;TCGA-EW-A1PB;-0,08620584;1679616
CN amplification (CN >= 0.6);RUNX1;TCGA-E9-A3X8;-3,676032e-11;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-E2-A2P6;-0,000298002;1679616
CN amplification (CN >= 0.6);FRMPD2;TCGA-E2-A10C;-0,06569993;1679616
CN amplification (CN >= 0.6);ERBB3;TCGA-DK-AA6P;-0,03119301;1679616
CN amplification (CN >= 0.6);FGFR3;TCGA-DK-A3IS;-1,451597e-10;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-DK-A2I6;-0,01710818;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-DK-A1A6;-6,77051e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-D8-A3Z6;-0,000298002;1679616
CN amplification (CN >= 0.6);KCNN3;TCGA-D8-A1XT;-0,0454224;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-D8-A1XL;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-D8-A143;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-CU-A3YL;-0,01710818;1679616
CN amplification (CN >= 0.6);KRAS;TCGA-CF-A5UA;-1,578984e-06;1679616
CN amplification (CN >= 0.6);FGFR3;TCGA-CF-A47V;-1,451597e-10;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A3M8;-4,567e-13;1679616
CN amplification (CN >= 0.6);ERBB2;TCGA-C8-A135;-0,002898264;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A12Y;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-C8-A12L;-4,567e-13;1679616
CN amplification (CN >= 0.6);ATM;TCGA-BT-A42E;-0,02104185;1679616
CN amplification (CN >= 0.6);USP36;TCGA-BH-A18G;-0,04354078;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-BH-A0GY;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-BH-A0E1;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-BH-A0DL;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-B6-A1KC;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-AO-A1KR;-4,567e-13;1679616
CN amplification (CN >= 0.6);GATA3;TCGA-AO-A0J3;-4,567e-13;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-AN-A049;-4,567e-13;1679616
CN amplification (CN >= 0.6);HRNR;TCGA-A8-A0A6;-0,000298002;1679616
CN amplification (CN >= 0.6);PIK3CA;TCGA-A8-A08R;-4,567e-13;1679616
